ID,Prioridade,Categoria,Título,Descrição,Estimativa,Status,Dependências,Referência,Critérios de Aceitação,TraceIDs,ADRs
RF-001,P0,Core,Implementar ProactivityEngine,Motor de proatividade para lembretes automáticos e brief diário,8,Not Started,APScheduler,SPEC.md - ProactivityEngine,"Brief automático às 8h, lembretes contextuais, notificações push",RF-015,UNASSIGNED
RF-002,P0,Core,Migrar para Agno Library,Substituir AgnoBridge pela biblioteca oficial Agno,13,Not Started,Agno Library Release,src/app/agents/agno.py,"Classificação mais precisa, melhor performance, manutenibilidade","RF-013;RF-014",ADR-002
RF-003,P0,Infrastructure,Implementar Worker Container,Container dedicado para tarefas assíncronas e scheduled jobs,5,Not Started,Docker Compose,docker-compose.yml,"Worker rodando, jobs executando, logs estruturados",RF-015,UNASSIGNED
RF-004,P1,Features,RecommendationService - Google Places,Integração com Google Places API para recomendações de locais,8,Not Started,Google Places API Key,SPEC.md - RecommendationService,"Sugestões de restaurantes, eventos próximos, baseado em localização",RF-016,UNASSIGNED
RF-005,P1,Features,RecommendationService - Eventbrite,Integração com Eventbrite API para descoberta de eventos,5,Not Started,Eventbrite API Key,SPEC.md - RecommendationService,"Descoberta de eventos, filtros por categoria, recomendações personalizadas",RF-017,UNASSIGNED
RF-006,P1,Features,Vector Search Implementation,Implementar busca semântica usando pgvector,8,Not Started,pgvector configurado,PostgreSQL + pgvector,"Busca por similaridade, embeddings de tarefas/eventos, search relevante",RF-018,ADR-003
RF-007,P1,Security,Implementar Autenticação JWT,Substituir HTTP Basic por JWT para melhor segurança,5,Not Started,JWT Library,src/app/routers/web.py,"Login/logout, tokens seguros, refresh tokens, middleware auth",RNF-020,ADR-011
RF-008,P1,Integration,WhatsApp Media Support,Suporte a imagens e documentos via WhatsApp,8,Not Started,Evolution API Media,src/app/integrations/evolution_api.py,"Upload de imagens, documentos, áudio, processamento de mídia",UNASSIGNED,UNASSIGNED
RF-009,P2,Features,WebSocket Real-time Notifications,Notificações em tempo real via WebSocket,8,Not Started,FastAPI WebSocket,FastAPI WebSocket,"Conexões persistentes, notificações push, status em tempo real",UNASSIGNED,UNASSIGNED
RF-010,P2,Features,Mobile App API Optimization,Otimizar API para consumo mobile,5,Not Started,Mobile Team,API Endpoints,"Endpoints otimizados, payload reduzido, offline support",UNASSIGNED,UNASSIGNED
RF-011,P2,Analytics,Advanced Analytics Dashboard,Dashboard com métricas avançadas e insights,13,Not Started,Analytics Framework,Prometheus Metrics,"Métricas de uso, performance, insights de produtividade",UNASSIGNED,UNASSIGNED
RF-012,P2,Architecture,Multi-tenant Support,Suporte a múltiplos usuários/organizações,21,Not Started,Database Schema,Database Design,"Isolamento de dados, billing, admin panel, user management",UNASSIGNED,UNASSIGNED
RNF-001,P0,Performance,Rate Limiting Optimization,Otimizar rate limiting para diferentes tipos de usuário,3,Not Started,Redis Configuration,RateLimitMiddleware,"Limites por usuário, burst capacity, graceful degradation",RNF-008,UNASSIGNED
RNF-002,P0,Security,Security Headers Enhancement,Melhorar headers de segurança e CSP policies,3,Not Started,Security Review,SecurityHeadersMiddleware,"CSP rigoroso, HSTS preload, security scan aprovado",RNF-009,ADR-007
RNF-003,P0,Monitoring,Structured Logging Enhancement,Melhorar logging estruturado com mais contexto,5,Not Started,Logging Framework,structlog,"Logs correlacionados, trace IDs, error tracking",RNF-017,ADR-008
RNF-004,P1,Performance,Database Query Optimization,Otimizar queries e adicionar índices apropriados,8,Not Started,Database Analysis,PostgreSQL,"Queries < 100ms, índices otimizados, connection pooling",RNF-001,UNASSIGNED
RNF-005,P1,Reliability,Health Checks Enhancement,Melhorar health checks com dependências externas,5,Not Started,Health Check Framework,/health endpoint,"Health checks detalhados, dependency status, alerting",RNF-018,UNASSIGNED
RNF-006,P1,Performance,Caching Strategy Implementation,Implementar estratégia de cache abrangente,8,Not Started,Redis Optimization,Redis Configuration,"Cache hit ratio > 80%, TTL otimizado, cache invalidation",RNF-005,ADR-005
RNF-007,P2,Scalability,Horizontal Scaling Preparation,Preparar aplicação para scaling horizontal,13,Not Started,Kubernetes,Architecture Review,"Stateless services, load balancing, auto-scaling",RNF-004,UNASSIGNED
RNF-008,P2,Monitoring,APM Integration,Integrar Application Performance Monitoring,8,Not Started,APM Tool,OpenTelemetry,"Traces distribuídos, performance insights, error tracking",RNF-019,UNASSIGNED
RNF-009,P2,Security,Secrets Management,Implementar gestão segura de secrets,5,Not Started,Vault/K8s Secrets,Environment Variables,"Secrets rotacionados, encrypted at rest, audit trail",RNF-021,UNASSIGNED
BUG-001,P0,Bug,Evolution API Error Handling,Melhorar tratamento de erros da Evolution API,3,Not Started,Error Analysis,src/app/integrations/evolution_api.py,"Retry logic, circuit breaker, error logging detalhado",UNASSIGNED,UNASSIGNED
BUG-002,P1,Bug,Notion Sync Race Conditions,Resolver condições de corrida na sincronização Notion,5,Not Started,Concurrency Analysis,src/app/services/tasks.py,"Locks apropriados, transações atômicas, conflict resolution",UNASSIGNED,UNASSIGNED
BUG-003,P1,Bug,Calendar Timezone Issues,Corrigir problemas de timezone em eventos,3,Not Started,Timezone Testing,src/app/services/calendar.py,"Timezone correto, DST handling, user timezone preference",UNASSIGNED,UNASSIGNED
TECH-001,P0,Technical Debt,Refactor Large Files,Refatorar arquivos com mais de 300 linhas,8,Not Started,Code Analysis,Code Review,"Arquivos < 300 linhas, responsabilidade única, testabilidade",UNASSIGNED,UNASSIGNED
TECH-002,P1,Technical Debt,Add Unit Tests,Adicionar testes unitários para serviços críticos,13,Not Started,Testing Framework,pytest,"Cobertura > 80%, testes de integração, CI/CD pipeline",UNASSIGNED,UNASSIGNED
TECH-003,P1,Technical Debt,API Documentation Enhancement,Melhorar documentação da API com exemplos,5,Not Started,OpenAPI Enhancement,FastAPI Docs,"Exemplos completos, error responses, authentication docs",UNASSIGNED,UNASSIGNED
TECH-004,P2,Technical Debt,Code Quality Improvements,Melhorar qualidade do código com linting rigoroso,8,Not Started,Code Quality Tools,pyproject.toml,"Linting score > 9.0, type hints 100%, docstrings completas",UNASSIGNED,UNASSIGNED
INFRA-001,P0,Infrastructure,Production Deployment Setup,Configurar ambiente de produção,13,Not Started,Cloud Provider,Docker Compose,"Deploy automatizado, monitoring, backup strategy",UNASSIGNED,UNASSIGNED
INFRA-002,P1,Infrastructure,CI/CD Pipeline,Implementar pipeline de CI/CD completo,8,Not Started,CI/CD Platform,GitHub Actions,"Build automatizado, testes, deploy, rollback capability",UNASSIGNED,UNASSIGNED
INFRA-003,P1,Infrastructure,Backup and Recovery,Implementar estratégia de backup e recovery,5,Not Started,Backup Solution,PostgreSQL,"Backups automáticos, recovery testado, RTO < 1h",UNASSIGNED,UNASSIGNED
INFRA-004,P2,Infrastructure,Kubernetes Migration,Migrar de Docker Compose para Kubernetes,21,Not Started,Kubernetes Cluster,docker-compose.yml,"Pods rodando, services expostos, auto-scaling configurado",UNASSIGNED,UNASSIGNED
DOC-001,P1,Documentation,User Manual,Criar manual do usuário completo,8,Not Started,Documentation Framework,README.md,"Guia de uso, troubleshooting, FAQ, video tutorials",UNASSIGNED,UNASSIGNED
DOC-002,P1,Documentation,API Integration Guide,Guia de integração para desenvolvedores,5,Not Started,API Documentation,OpenAPI Spec,"Exemplos de código, SDKs, postman collection",UNASSIGNED,UNASSIGNED
DOC-003,P2,Documentation,Architecture Decision Records,Documentar todas as decisões arquiteturais,5,Not Started,ADR Template,decisions.md,"ADRs completos, rationale, alternatives considered",UNASSIGNED,UNASSIGNED
